Category: All categories,,,
,,,
Region,Milkshake: (4/10/25 - 4/10/26),Hamburger: (4/10/25 - 4/10/26),Breakup: (4/10/25 - 4/10/26)
North Carolina,23%,64%,13%
Alabama,24%,63%,13%
Tennessee,24%,62%,14%
Utah,22%,65%,13%
South Carolina,22%,64%,14%
Kentucky,23%,63%,14%
West Virginia,24%,62%,14%
Missouri,22%,64%,14%
Arizona,22%,64%,14%
Georgia,23%,63%,14%
Arkansas,21%,66%,13%
Texas,22%,63%,15%
Indiana,22%,64%,14%
Louisiana,22%,63%,15%
Illinois,22%,62%,16%
Virginia,23%,62%,15%
Nevada,20%,67%,13%
Delaware,24%,61%,15%
Mississippi,21%,66%,13%
Ohio,22%,64%,14%
Florida,23%,62%,15%
Pennsylvania,23%,60%,17%
Kansas,19%,67%,14%
Oklahoma,19%,68%,13%
Idaho,20%,67%,13%
Michigan,19%,66%,15%
Rhode Island,23%,60%,17%
Maryland,23%,60%,17%
New Jersey,22%,60%,18%
California,20%,63%,17%
Iowa,20%,67%,13%
Wisconsin,19%,68%,13%
Oregon,19%,66%,15%
Connecticut,21%,63%,16%
Nebraska,18%,70%,12%
Minnesota,20%,64%,16%
Colorado,19%,65%,16%
North Dakota,19%,69%,12%
New York,21%,60%,19%
New Mexico,19%,67%,14%
Wyoming,18%,68%,14%
Massachusetts,20%,60%,20%
Washington,19%,64%,17%
New Hampshire,19%,66%,15%
Maine,18%,68%,14%
Alaska,16%,70%,14%
South Dakota,13%,76%,11%
Hawaii,15%,70%,15%
Montana,14%,75%,11%
District of Columbia,17%,64%,19%
Vermont,15%,69%,16%
