Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25),,# of regions,51
Alabama,24%,64%,12%,,,
Alaska,15%,72%,13%,,,
Arizona,20%,66%,14%,,,
Arkansas,21%,67%,12%,,,
California,19%,66%,15%,,,
Colorado,18%,68%,14%,,,
Connecticut,22%,63%,15%,,,
Delaware,23%,64%,13%,,,
District of Columbia,17%,66%,17%,,,
Florida,22%,64%,14%,,,
Georgia,23%,63%,14%,,,
Hawaii,15%,72%,13%,,,
Idaho,20%,66%,14%,,,
Illinois,23%,63%,14%,,,
Indiana,23%,63%,14%,,,
Iowa,19%,68%,13%,,,
Kansas,19%,68%,13%,,,
Kentucky,23%,65%,12%,,,
Louisiana,20%,67%,13%,,,
Maine,18%,69%,13%,,,
Maryland,25%,60%,15%,,,
Massachusetts,21%,62%,17%,,,
Michigan,21%,66%,13%,,,
Minnesota,19%,67%,14%,,,
Mississippi,20%,69%,11%,,,
Missouri,19%,67%,14%,,,
Montana,14%,75%,11%,,,
Nebraska,18%,70%,12%,,,
Nevada,20%,66%,14%,,,
New Hampshire,20%,66%,14%,,,
New Jersey,21%,63%,16%,,,
New Mexico,18%,68%,14%,,,
New York,21%,63%,16%,,,
North Carolina,22%,65%,13%,,,
North Dakota,19%,69%,12%,,,
Ohio,21%,65%,14%,,,
Oklahoma,18%,70%,12%,,,
Oregon,18%,69%,13%,,,
Pennsylvania,23%,62%,15%,,,
Rhode Island,22%,64%,14%,,,
South Carolina,22%,66%,12%,,,
South Dakota,14%,76%,10%,,,
Tennessee,21%,66%,13%,,,
Texas,20%,68%,12%,,,
Utah,21%,65%,14%,,,
Vermont,16%,70%,14%,,,
Virginia,24%,62%,14%,,,
Washington,18%,68%,14%,,,
West Virginia,23%,64%,13%,,,
Wisconsin,20%,66%,14%,,,
Wyoming,17%,69%,14%,,,
